epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.289,1.53505,2.01471,1.26088,0.51288,0.59548,0.55988,0.33836,1.41569,1.15406,1.2267,0.00332526,0.00332526,0.00332526
2,240.516,1.38576,1.15206,1.14642,0.5943,0.65322,0.65002,0.40875,1.35362,1.02486,1.15567,0.00664212,0.00664212,0.00664212
3,336.856,1.38753,1.13737,1.14022,0.61468,0.69767,0.66254,0.4115,1.33465,1.03614,1.16964,0.00994247,0.00994247,0.00994247
4,436.043,1.39976,1.14645,1.15757,0.55242,0.67194,0.63546,0.39293,1.35813,1.0527,1.19284,0.00992575,0.00992575,0.00992575
5,535.283,1.37994,1.09537,1.14824,0.59502,0.68263,0.65407,0.41039,1.34841,0.99391,1.1666,0.009901,0.009901,0.009901
6,632.181,1.36194,1.05091,1.14025,0.57611,0.69056,0.6491,0.39728,1.40784,0.99952,1.21343,0.00987625,0.00987625,0.00987625
7,731.007,1.34457,1.02679,1.13583,0.63662,0.72152,0.69493,0.44071,1.30876,0.93478,1.1501,0.0098515,0.0098515,0.0098515
8,828.974,1.32457,0.998,1.12675,0.66486,0.71343,0.70994,0.46331,1.30099,0.91796,1.14397,0.00982675,0.00982675,0.00982675
9,926.511,1.30524,0.97551,1.11563,0.66363,0.73451,0.72653,0.48039,1.27873,0.89616,1.1395,0.009802,0.009802,0.009802
10,1082.7,1.2973,0.96577,1.11901,0.67611,0.71361,0.71667,0.46375,1.29686,0.89208,1.15359,0.00977725,0.00977725,0.00977725
11,1214.99,1.28514,0.94871,1.10858,0.65059,0.74405,0.75039,0.48789,1.2643,0.87601,1.13181,0.0097525,0.0097525,0.0097525
12,1310.34,1.27123,0.93282,1.0998,0.71653,0.68937,0.73328,0.47953,1.27273,0.87336,1.13439,0.00972775,0.00972775,0.00972775
13,1404.08,1.27933,0.92979,1.10263,0.70393,0.70194,0.7466,0.49006,1.2553,0.86647,1.12326,0.009703,0.009703,0.009703
14,1503.22,1.26912,0.91551,1.09669,0.69419,0.73621,0.75069,0.4985,1.25516,0.85658,1.12251,0.00967825,0.00967825,0.00967825
15,1601.89,1.25304,0.9002,1.094,0.69272,0.76029,0.76467,0.51075,1.23613,0.83389,1.11483,0.0096535,0.0096535,0.0096535
16,1695.57,1.23728,0.88377,1.08986,0.68933,0.75169,0.7545,0.49999,1.23566,0.84911,1.11707,0.00962875,0.00962875,0.00962875
17,1790.74,1.2368,0.88468,1.09022,0.69848,0.73429,0.75416,0.4952,1.26445,0.83984,1.11994,0.009604,0.009604,0.009604
18,1889.37,1.23557,0.87303,1.08461,0.72249,0.71143,0.74982,0.49189,1.25686,0.84862,1.11874,0.00957925,0.00957925,0.00957925
19,1987.8,1.22105,0.86598,1.07821,0.6872,0.75282,0.76846,0.51794,1.22815,0.82014,1.10927,0.0095545,0.0095545,0.0095545
20,2087.54,1.2178,0.85397,1.07626,0.69135,0.77476,0.76985,0.51687,1.22019,0.81158,1.10926,0.00952975,0.00952975,0.00952975
21,2184.81,1.21842,0.84714,1.07622,0.71663,0.75561,0.76969,0.52082,1.2235,0.80525,1.1058,0.009505,0.009505,0.009505
22,2282.62,1.20834,0.8455,1.07567,0.73408,0.74286,0.77699,0.52738,1.20979,0.792,1.09414,0.00948025,0.00948025,0.00948025
23,2380.99,1.19804,0.83076,1.07097,0.71826,0.76282,0.78914,0.54123,1.22181,0.79361,1.10393,0.0094555,0.0094555,0.0094555
24,2479.62,1.20224,0.82868,1.07238,0.7405,0.75368,0.78851,0.54534,1.20593,0.77423,1.09836,0.00943075,0.00943075,0.00943075
25,2578.18,1.19737,0.82553,1.07129,0.73102,0.75792,0.77553,0.5261,1.20055,0.78325,1.10244,0.009406,0.009406,0.009406
26,2677.34,1.18905,0.81827,1.07256,0.74428,0.75319,0.79868,0.54587,1.20159,0.77578,1.10066,0.00938125,0.00938125,0.00938125
27,2776.12,1.18914,0.8109,1.06897,0.7307,0.7519,0.79786,0.54349,1.18263,0.76706,1.09286,0.0093565,0.0093565,0.0093565
28,2873.24,1.1788,0.79207,1.06544,0.73448,0.74914,0.78201,0.53399,1.1907,0.77595,1.09646,0.00933175,0.00933175,0.00933175
29,2969.52,1.17361,0.79557,1.06503,0.73704,0.75134,0.78929,0.54924,1.18151,0.76444,1.0917,0.009307,0.009307,0.009307
30,3070.87,1.18156,0.79036,1.06585,0.76999,0.76243,0.81226,0.55843,1.20139,0.75087,1.10177,0.00928225,0.00928225,0.00928225
31,3170.84,1.1752,0.79035,1.06368,0.76649,0.74438,0.80773,0.55466,1.17506,0.75218,1.08263,0.0092575,0.0092575,0.0092575
32,3270.02,1.16417,0.77988,1.05561,0.76023,0.73732,0.80066,0.55551,1.1792,0.74082,1.07934,0.00923275,0.00923275,0.00923275
33,3370.13,1.16246,0.77665,1.05506,0.74934,0.76432,0.81831,0.56881,1.17379,0.73357,1.0865,0.009208,0.009208,0.009208
34,3470.27,1.14844,0.77173,1.05047,0.75195,0.77603,0.8112,0.56284,1.1685,0.73303,1.07968,0.00918325,0.00918325,0.00918325
35,3569.18,1.1502,0.76256,1.05149,0.77453,0.77093,0.80954,0.56432,1.16633,0.72313,1.08392,0.0091585,0.0091585,0.0091585
36,3668.23,1.14649,0.76086,1.0524,0.74173,0.78131,0.82027,0.56944,1.165,0.72365,1.08593,0.00913375,0.00913375,0.00913375
37,3764.95,1.14244,0.75095,1.04834,0.77675,0.75288,0.80973,0.56862,1.15543,0.72515,1.08227,0.009109,0.009109,0.009109
38,3860.99,1.13084,0.74107,1.04715,0.79375,0.75404,0.81981,0.57662,1.16737,0.71593,1.0825,0.00908425,0.00908425,0.00908425
39,3956.72,1.13615,0.74253,1.04749,0.77367,0.76615,0.81853,0.57821,1.15388,0.71708,1.08065,0.0090595,0.0090595,0.0090595
40,4055.82,1.12525,0.73794,1.0426,0.74808,0.76904,0.81422,0.57032,1.14626,0.7175,1.07152,0.00903475,0.00903475,0.00903475
41,4156.48,1.12122,0.72854,1.0415,0.76735,0.76166,0.81504,0.57974,1.15409,0.71761,1.08481,0.00901,0.00901,0.00901
42,4254.5,1.12337,0.72195,1.04459,0.79227,0.78455,0.83237,0.59077,1.14228,0.69749,1.07285,0.00898525,0.00898525,0.00898525
43,4353.95,1.11356,0.71945,1.04114,0.78533,0.78435,0.83924,0.59983,1.14127,0.69376,1.07114,0.0089605,0.0089605,0.0089605
44,4453.36,1.10915,0.71286,1.03703,0.76737,0.79425,0.82817,0.58797,1.14243,0.69139,1.06924,0.00893575,0.00893575,0.00893575
45,4552.15,1.10571,0.71386,1.03784,0.78347,0.77297,0.83158,0.5904,1.13613,0.69908,1.06977,0.008911,0.008911,0.008911
46,4651.4,1.10272,0.70418,1.03212,0.79884,0.79386,0.83832,0.60039,1.13908,0.68072,1.06329,0.00888625,0.00888625,0.00888625
47,4750.61,1.11016,0.71194,1.03343,0.79716,0.78414,0.83802,0.59663,1.1362,0.68729,1.06286,0.0088615,0.0088615,0.0088615
48,4850.42,1.09143,0.69105,1.03121,0.8071,0.76736,0.838,0.59898,1.12898,0.68779,1.06364,0.00883675,0.00883675,0.00883675
49,4949.18,1.08925,0.69406,1.02854,0.79115,0.79649,0.84526,0.61279,1.12504,0.67616,1.0618,0.008812,0.008812,0.008812
50,5048.9,1.08185,0.68633,1.02246,0.80064,0.80352,0.84605,0.60809,1.1319,0.68005,1.06673,0.00878725,0.00878725,0.00878725
51,5150.78,1.08782,0.69036,1.02669,0.79362,0.79482,0.83958,0.60151,1.13448,0.68444,1.06676,0.0087625,0.0087625,0.0087625
52,5252.21,1.07743,0.67806,1.02272,0.78951,0.79858,0.83956,0.60413,1.11235,0.67658,1.05801,0.00873775,0.00873775,0.00873775
53,5353.1,1.08161,0.68309,1.02165,0.77891,0.78527,0.83794,0.60639,1.11698,0.67572,1.05784,0.008713,0.008713,0.008713
54,5452.63,1.07703,0.67093,1.01924,0.82394,0.77548,0.84611,0.60933,1.11045,0.66277,1.05265,0.00868825,0.00868825,0.00868825
55,5552.43,1.06885,0.66275,1.02142,0.82591,0.78727,0.84847,0.61033,1.10442,0.65511,1.05188,0.0086635,0.0086635,0.0086635
56,5651.73,1.05824,0.66382,1.01585,0.80377,0.79182,0.84844,0.616,1.10257,0.65986,1.05165,0.00863875,0.00863875,0.00863875
57,5750.75,1.06129,0.6632,1.01558,0.81697,0.78571,0.84722,0.61653,1.10004,0.65304,1.04749,0.008614,0.008614,0.008614
58,5849.32,1.05613,0.65786,1.01506,0.81947,0.80734,0.85163,0.6207,1.09861,0.65229,1.05006,0.00858925,0.00858925,0.00858925
59,5947.72,1.05588,0.65534,1.01461,0.82692,0.77427,0.84837,0.62528,1.08621,0.64595,1.04877,0.0085645,0.0085645,0.0085645
60,6045.32,1.04829,0.65664,1.0107,0.81588,0.79253,0.8485,0.61902,1.09607,0.65003,1.04659,0.00853975,0.00853975,0.00853975
61,6142.63,1.04827,0.6421,1.01176,0.7988,0.79909,0.84706,0.62086,1.08723,0.64777,1.04547,0.008515,0.008515,0.008515
62,6240.97,1.04649,0.64028,1.009,0.81122,0.80865,0.85248,0.6273,1.08938,0.64938,1.04752,0.00849025,0.00849025,0.00849025
63,6339.84,1.03992,0.63503,1.00556,0.78192,0.80728,0.84695,0.62383,1.08236,0.64435,1.03972,0.0084655,0.0084655,0.0084655
64,6440.23,1.03311,0.64254,1.00408,0.82404,0.80046,0.85806,0.63152,1.08342,0.63852,1.0431,0.00844075,0.00844075,0.00844075
65,6540.18,1.03569,0.64011,1.00829,0.81762,0.79416,0.85851,0.63793,1.07966,0.63691,1.04397,0.008416,0.008416,0.008416
66,6637.5,1.02979,0.63184,1.00422,0.81406,0.801,0.85162,0.63075,1.07175,0.63734,1.03686,0.00839125,0.00839125,0.00839125
67,6735.81,1.02417,0.62553,1.00566,0.83178,0.79643,0.86268,0.64532,1.06365,0.63673,1.03567,0.0083665,0.0083665,0.0083665
68,6834.1,1.02102,0.62926,1.00501,0.80606,0.82047,0.86032,0.64389,1.06085,0.63033,1.03797,0.00834175,0.00834175,0.00834175
69,6933.7,1.02646,0.61976,0.99878,0.82179,0.7923,0.8564,0.6425,1.05765,0.63482,1.02871,0.008317,0.008317,0.008317
70,7033.48,1.02051,0.62564,1.00089,0.84397,0.78613,0.86133,0.64085,1.0631,0.6317,1.03032,0.00829225,0.00829225,0.00829225
